Season,Event,Buyer ID,Resale Date,Seat Block,Qty,Primary Value / Ticket,Resale Value / Ticket,Mail CSZ
Football 2017,Michigan State,966483,10/4/17,"1:35:11:3,3",2,71.67,250,"New Orleans, LA  70115"
Football 2017,Michigan State,966483,10/4/17,"1:35:11:4,4",2,71.67,250,"New Orleans, LA  70115"
Football 2017,Michigan State,966485,10/5/17,"1:15:83:10,9",4,71.67,170.33,"Detroit, MI  48214"
Football 2017,Michigan State,966486,10/5/17,"1:4:31:14,13",4,71.67,225,"Los Angeles, CA  90049"
Football 2017,Michigan State,966487,10/5/17,"1:15:20:37,35",6,125,295.96,"Birmingham, MI  48009"
Football 2017,Michigan State,966488,10/5/17,"1:36:24:4,1",8,71.67,227,"Evanston, IL  60201"
Football 2017,Michigan State,966489,10/5/17,"1:3:10:14,13",4,71.67,279,"Ionia, MI  48846"
Football 2017,Michigan State,966489,10/6/17,"1:2:12:8,7",4,71.67,325,"Ionia, MI  48846"
Football 2017,Michigan State,966490,10/5/17,"1:5:48:13,12",4,71.67,225,"Grosse Pointe Shores, MI  48236"
Football 2017,Michigan State,966492,10/5/17,"1:8:88:39,38",4,125,172,"Westland, MI  48185"
Football 2017,Michigan State,966493,10/5/17,"1:10:85:17,16",4,71.67,180,"Taylor, MI  48180"
Football 2017,Michigan State,966494,10/5/17,"1:43:62:18,17",4,71.67,240,"Kirkland, WA  98033"
Football 2017,Michigan State,966495,10/5/17,"1:15:96:45,43",6,125,259.9,"Hopkins, MN  55343"
Football 2017,Michigan State,966496,10/5/17,"1:13:49:16,15",4,71.67,190,"Rives Junction, MI  49277"
Football 2017,Michigan State,966498,10/5/17,"1:16:31:1,1",2,71.67,243,"Springfield, IL  62707"
Football 2017,Michigan State,966500,10/5/17,"1:37:36:16,15",4,64.5,190.02,
Football 2017,Michigan State,966501,10/5/17,"1:7:54:10,9",4,71.67,190,"Hudsonville, MI  49426"
Football 2017,Michigan State,966502,10/5/17,"1:20:11:12,11",4,71.67,250,"Laconia, NH  03246"
Football 2017,Michigan State,966504,10/5/17,"1:16:86:6,5",4,71.67,176,"Birmingham, MI  48009"
Football 2017,Michigan State,966507,10/5/17,"1:12:90:5,5",2,125,255.61,"Philadelphia, PA  19152"
Football 2017,Michigan State,966509,10/5/17,"1:6:84:2,1",4,71.67,195,"New York, NY  10075"
Football 2017,Michigan State,966509,10/5/17,"1:6:88:15,13",6,71.67,272.67,"New York, NY  10075"
Football 2017,Michigan State,966514,10/5/17,"1:39:80:1,1",2,125,174,"Flemington, NJ  08822"
Football 2017,Michigan State,966515,10/5/17,"1:6:27:1,1",2,125,197,"Guelph, ON  N1G 4S3"
Football 2017,Michigan State,966516,10/5/17,"1:10:88:12,11",4,125,170,"Ann Arbor, MI  48104"
Football 2017,Michigan State,966517,10/5/17,"1:7:83:11,11",2,71.67,175,"Bloomfield Hills, MI  48301"
Football 2017,Michigan State,966518,10/5/17,"1:9:67:10,10",2,71.67,150,"Vienna, VA  22182"
Football 2017,Michigan State,966518,10/5/17,"1:9:67:9,9",2,71.67,150,"Vienna, VA  22182"
Football 2017,Michigan State,966518,10/5/17,"1:9:68:12,12",2,71.67,179,"Vienna, VA  22182"
Football 2017,Michigan State,966519,10/5/17,"1:19:62:29,29",2,140,200,"London, ON  N6P 1P2"
Football 2017,Michigan State,966521,10/5/17,"1:16:63:8,7",4,71.67,191,"Rochester, MI  48309"
Football 2017,Michigan State,966522,10/5/17,"1:15:42:13,12",4,64.5,175,"West Olive, MI  49460"
Football 2017,Michigan State,966523,10/5/17,"1:21:34:16,13",8,71.67,400,"Sumter, SC  29151"
Football 2017,Michigan State,966525,10/5/17,"1:5:84:25,24",4,71.67,173.98,"New Hartford, NY  13413"
Football 2017,Michigan State,966527,10/5/17,"1:37:17:10,7",8,71.67,250,"Midland, MI  48642"
Football 2017,Michigan State,966528,10/5/17,"1:41:24:13,10",8,71.67,230,"Norway, MI  49870"
Football 2017,Michigan State,966529,10/5/17,"1:34:14:10,9",4,71.67,225,"Weston, MA  02493"
Football 2017,Michigan State,966530,10/5/17,"1:7:68:6,5",4,125,180,"West Bloomfield, MI  48322"
Football 2017,Michigan State,966531,10/5/17,"1:18:52:19,18",4,64.5,210,"New York, NY  10003"
Football 2017,Michigan State,966532,10/5/17,"1:16:87:28,27",4,64.5,175,"Las Vegas, NV  89141"
Football 2017,Michigan State,966534,10/5/17,"1:37:67:16,15",4,71.67,185.07,"Garden City, NY  11530"
Football 2017,Michigan State,966538,10/5/17,"1:40:14:21,20",4,71.67,200,"Long Beach, CA  90814"
Football 2017,Michigan State,966541,10/5/17,"1:37:16:39,39",2,71.67,170,"San Francisco, CA  94114"
